"","color","mouse","field","day","ctl"
"1","blue","1","1",1,0
"2","blue","1","2",1,0
"3","blue","1","3",1,0
"4","blue","10","1",10,6
"5","blue","10","2",10,19
"6","blue","10","3",10,6
"7","blue","11","1",10,0
"8","blue","11","2",10,2
"9","blue","11","3",10,2
"10","blue","12","1",14,0
"11","blue","12","2",14,0
"12","blue","12","3",14,0
"13","blue","13","1",14,5
"14","blue","13","2",14,40
"15","blue","13","3",14,2
"16","blue","2","1",1,0
"17","blue","2","2",1,0
"18","blue","4","1",3,87
"19","blue","4","2",3,142
"20","blue","4","3",3,49
"21","blue","5","1",3,32
"22","blue","5","2",3,49
"23","blue","5","3",3,59
"24","blue","6","1",5,50
"25","blue","6","2",5,33
"26","blue","6","3",5,50
"27","blue","7","1",5,78
"28","blue","7","2",5,129
"29","blue","7","3",5,37
"30","blue","8","1",7,20
"31","blue","8","2",7,27
"32","blue","8","3",7,49
"33","blue","9","1",7,8
"34","blue","9","2",7,28
"35","blue","9","3",7,43
