day,vol,condition,mouse,fig
-1,21.1,untreated,1,1
1,64.8,untreated,1,1
3,166.9,untreated,1,1
5,385.3,untreated,1,1
7,752.7,untreated,1,1
-1,15.2,untreated,2,1
1,44.5,untreated,2,1
3,142.6,untreated,2,1
5,267,untreated,2,1
7,584,untreated,2,1
-1,12,untreated,3,1
1,71.4,untreated,3,1
3,124.4,untreated,3,1
5,251.3,untreated,3,1
7,608.3,untreated,3,1
-1,7.3,untreated,4,1
1,71.3,untreated,4,1
3,165.2,untreated,4,1
5,404.8,untreated,4,1
7,587.4,untreated,4,1
-1,20.9,untreated,5,1
1,54.6,untreated,5,1
3,204.3,untreated,5,1
5,325.6,untreated,5,1
7,682.3,untreated,5,1
-1,22.3,ctl,1,1
1,62.7,ctl,1,1
3,108.4,ctl,1,1
5,127.2,ctl,1,1
7,166.9,ctl,1,1
-1,16.9,ctl,2,1
1,56.9,ctl,2,1
3,100.8,ctl,2,1
5,82.7,ctl,2,1
7,97.1,ctl,2,1
-1,21.1,ctl,3,1
1,64.6,ctl,3,1
3,166.4,ctl,3,1
5,127.9,ctl,3,1
7,186.7,ctl,3,1
-1,11.9,ctl,4,1
1,47.2,ctl,4,1
3,110.7,ctl,4,1
5,104.5,ctl,4,1
7,124,ctl,4,1
-1,15.1,ctl,5,1
1,39.5,ctl,5,1
3,48.3,ctl,5,1
5,61.7,ctl,5,1
7,97.9,ctl,5,1
-1,44.8,untreated,1,2
1,177.8,untreated,1,2
3,298.2,untreated,1,2
5,507.3,untreated,1,2
7,1259.5,untreated,1,2
-1,40.3,untreated,2,2
1,62.1,untreated,2,2
3,118,untreated,2,2
5,236.2,untreated,2,2
7,424.6,untreated,2,2
-1,28.7,untreated,3,2
1,40.1,untreated,3,2
3,105.2,untreated,3,2
5,299.1,untreated,3,2
7,861.6,untreated,3,2
-1,19.4,untreated,4,2
1,22.6,untreated,4,2
3,18.6,untreated,4,2
5,41.8,untreated,4,2
7,58.3,untreated,4,2
-1,27.4,untreated,5,2
1,46,untreated,5,2
3,94.7,untreated,5,2
5,240.4,untreated,5,2
7,514.3,untreated,5,2
-1,52.2,ctl,1,2
1,75,ctl,1,2
3,121.7,ctl,1,2
5,128.3,ctl,1,2
7,168.7,ctl,1,2
-1,37.6,ctl,2,2
1,79.1,ctl,2,2
3,89.7,ctl,2,2
5,94.6,ctl,2,2
7,195.5,ctl,2,2
-1,21.4,ctl,3,2
1,59.2,ctl,3,2
3,69.9,ctl,3,2
5,63.3,ctl,3,2
7,127.2,ctl,3,2
-1,32.6,ctl,4,2
1,41.2,ctl,4,2
3,61.9,ctl,4,2
5,76.8,ctl,4,2
7,65.6,ctl,4,2
-1,24.5,ctl,5,2
1,11.3,ctl,5,2
3,41.7,ctl,5,2
5,22.3,ctl,5,2
7,7.3,ctl,5,2
-1,43.3,pbs,1,3
3,212.2,pbs,1,3
5,415.1574,pbs,1,3
7,593.5255,pbs,1,3
-1,64.5,pbs,2,3
3,438.6,pbs,2,3
5,744.911,pbs,2,3
7,1008.239,pbs,2,3
-1,39.3,pbs,3,3
3,192.464,pbs,3,3
5,545.5055,pbs,3,3
7,846.1356,pbs,3,3
-1,45.87756,pbs,4,3
3,190.4923,pbs,4,3
5,317.1054,pbs,4,3
7,505.218,pbs,4,3
-1,56.86684,pbs,5,3
3,412.0261,pbs,5,3
5,600.829,pbs,5,3
7,1081.13,pbs,5,3
-1,17.9,igg,1,3
3,46.4,igg,1,3
5,26.8,igg,1,3
7,57.6,igg,1,3
-1,26.2,igg,2,3
3,49,igg,2,3
5,40.8,igg,2,3
7,47.5,igg,2,3
-1,23.1,igg,3,3
3,71.1,igg,3,3
5,43.2,igg,3,3
7,35.7,igg,3,3
-1,43.49268,igg,4,3
3,80.98132,igg,4,3
5,59.17745,igg,4,3
7,69.46748,igg,4,3
-1,63.55496,igg,5,3
3,323.4368,igg,5,3
5,300.9342,igg,5,3
7,345.611,igg,5,3
-1,32.28531,aifng,1,3
3,54.35853,aifng,1,3
5,48.20439,aifng,1,3
7,168.79566,aifng,1,3
-1,62.00688,aifng,2,3
3,536.4097,aifng,2,3
5,522.4477,aifng,2,3
7,812.7671,aifng,2,3
-1,49.20384,aifng,3,3
3,214.3568,aifng,3,3
5,445.596,aifng,3,3
7,767.1626,aifng,3,3
-1,55.47984,aifng,4,3
3,361.4584,aifng,4,3
5,319.2225,aifng,4,3
7,515.7993,aifng,4,3
-1,61.15334,aifng,5,3
3,452.6513,aifng,5,3
5,725.5417,aifng,5,3
7,1095.523,aifng,5,3
0,44.5,ctl,1,s1
1,98.6,ctl,1,s1
3,156.7,ctl,1,s1
5,193.9,ctl,1,s1
7,149.2,ctl,1,s1
10,980.9,ctl,1,s1
14,3306.6,ctl,1,s1
0,72.5,ctl,2,s1
1,106.2,ctl,2,s1
3,238.7,ctl,2,s1
5,353.6,ctl,2,s1
7,376.9,ctl,2,s1
10,505.7,ctl,2,s1
14,1490.7,ctl,2,s1
